image,param1,param2,output,flag,username,timestamp
C:\Workplace\SUSTech-EE326-Digital-Image-Processing-Project\src\flagged\image\tmp6wveulqj.png,0,0,C:\Workplace\SUSTech-EE326-Digital-Image-Processing-Project\src\flagged\output\tmphqtg87g6.png,,,2023-05-27 03:29:27.701578
C:\Workplace\SUSTech-EE326-Digital-Image-Processing-Project\src\flagged\image\tmp138tq1da.png,0,0,C:\Workplace\SUSTech-EE326-Digital-Image-Processing-Project\src\flagged\output\tmp2bhne12s.png,,,2023-05-27 03:29:33.044494
